osm_stop_position_id,osm_stop_area_group_id,osm_stop_area_id,osm_station_id,osm_entrance_ids,station_id,device_location,fare_location,name_cn,stop_code,amap_id,amap_name,adcode
n339091847,osm_stop_area_group_id,r2605258,n5448550393,"n1296102355,n1296102421,n1296102342,n1296102377",2,150995204,150995204,古城,010004,amap_id,amap_name,adcode
n339090514,osm_stop_area_group_id,r1596677,n6617849507,"n1296102379,n1296102415,n1296102340,n1296102332",4,150995206,150995206,八宝山,010006,amap_id,amap_name,adcode
n339092170,osm_stop_area_group_id,r1596718,n6617849508,"n1296155053,n1296155062,n1296155071,n1296155084,n1296155066,n1296155049,n1296155075,n1296155060",5,150995207,150995207,玉泉路,010007,amap_id,amap_name,adcode
n1296155055,osm_stop_area_group_id,r1598926,n6617849505,"n1298050519,n1298050528,n1298050568,n1298050591,n1298050555,n1298050586,n1298050575,n1298050597",6,150995208,150995208,五棵松,010008,amap_id,amap_name,adcode
n339086745,osm_stop_area_group_id,r1598927,n6617849504,"n1298050530,n1298050552,n1298050562,n1298050577,n1298050521,n1298050572,n1298050571,n1298050531",7,150995209,150995209,万寿路,010009,amap_id,amap_name,adcode
n339086386,osm_stop_area_group_id,r1598955,n5430421400,n1298076031,8,151018041,150995107,公主坟,900057,amap_id,amap_name,adcode
n339086329,osm_stop_area_group_id,r1598956,n5430417411,"n1298058560,n1298058630,n1298058592,n1298058540,n1298058646",9,150997275,150995055,军事博物馆,090027,amap_id,amap_name,adcode
n339086364,osm_stop_area_group_id,r1598954,n6617849501,"n1298058539,n1298058567,n1298058590,n1298058603,n1298058556,n1298058529,n1298058633,n1298058575",10,150999097,150999097,木樨地,160057,amap_id,amap_name,adcode
n339086220,osm_stop_area_group_id,r1598987,n6617849502,"n1298143225,n1298143253,n1298143238,n1298143246,n1673265528",11,150995213,150995213,南礼士路,010013,amap_id,amap_name,adcode
n339086167,osm_stop_area_group_id,r1599345,n5430395013,,12,150995460,150995046,复兴门,020004,amap_id,amap_name,adcode
n533645705,osm_stop_area_group_id,r1602850,n5430540736,"n1301959258,n1301959252,n1301959280,n1301959229,n5077273885,n8500051831,n5077273896",13,150996021,150995056,西单,040053,amap_id,amap_name,adcode
n339084600,osm_stop_area_group_id,r1602849,n6447754030,"n1301959175,n10152163325,n1301959251,n1301959208",14,150995216,150995216,天安门西,010016,amap_id,amap_name,adcode
n339084700,osm_stop_area_group_id,r1602851,n5441520625,"n1024947212,n2359088026,n4710638759,n1301959254",15,150995217,150995217,天安门东,010017,amap_id,amap_name,adcode
n339084979,osm_stop_area_group_id,r1603635,n6617849503,"n1302986764,n1302986800,n1302986771,n1302986770,n1302986772,n1302986794",16,150997037,150995153,王府井,080045,amap_id,amap_name,adcode
n339085117,osm_stop_area_group_id,r8047913,n5430429324,"n1654257562,n4716204515,n1654257557,n7825512449,n7825512462,n1654257552",17,150996277,150995057,东单,050053,amap_id,amap_name,adcode
n339085190,osm_stop_area_group_id,r1603641,n5430497283,"n1189531268,n1195696804,n1195696945",18,150995467,150995049,建国门,020011,amap_id,amap_name,adcode
n339085194,osm_stop_area_group_id,r1604004,n5442185238,"n9116005228,n1647463797,n10299687569,n11097391063,n11097391060,n1303500733",19,150999339,150995173,永安里,170043,amap_id,amap_name,adcode
n339085195,osm_stop_area_group_id,r1604001,n5430522453,"n3450739378,n3450739381,n3450739380,n3450739379,n3450739382,n3450739383,n3450739385,n3450739384,n10695100926",20,150997543,150995058,国贸,100039,amap_id,amap_name,adcode
n339085203,osm_stop_area_group_id,r1604003,n3369001431,"n2299602091,n1303500882,n4832116899,n4832116900,n4832116901,n4832116902,n4832116903,n4832116898",21,150998595,150995122,大望路,140067,amap_id,amap_name,adcode
n339085253,osm_stop_area_group_id,r1604002,n5430493577,"n1303502778,n1303502769,n1303502783,n1303502771",22,150995224,150995059,四惠,010024,amap_id,amap_name,adcode
n323145029,osm_stop_area_group_id,r1604005,n5430491074,"n1303502776,n2801043100,n5442860530",23,150995225,150995060,四惠东,010025,amap_id,amap_name,adcode
n323144883,osm_stop_area_group_id,r1604019,n8978629464,"n8571694066,n8571694065,n8581526814,n8581526813",238,151019779,151019779,高碑店,970003,amap_id,amap_name,adcode
