stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
n339091847,010004,古城(上行),古城,,39.9061292,116.1842969,,,0,r2605258,,,,,
r2605258,010004,古城,古城,,39.9061423,116.1844475,,,1,,,,,,
n1296102355,010004,古城A出口,古城A出口,,39.9063208,116.1837312,,,2,r2605258,,,,,
n1296102421,010004,古城B出口,古城B出口,,39.9063174,116.1847992,,,2,r2605258,,,,,
n1296102342,010004,古城C出口,古城C出口,,39.9059549,116.1848164,,,2,r2605258,,,,,
n1296102377,010004,古城D出口,古城D出口,,39.9059555,116.1837269,,,2,r2605258,,,,,
n339090514,010006,八宝山(上行),八宝山,,39.9061583,116.2296778,,,0,r1596677,,,,,
r1596677,010006,八宝山,八宝山,,39.9061888,116.2296796,,,1,,,,,,
n1296102379,010006,八宝山出口,八宝山出口,,39.906382,116.2291752,,,2,r1596677,,,,,
n1296102415,010006,八宝山出口,八宝山出口,,39.9059817,116.2291819,,,2,r1596677,,,,,
n1296102340,010006,八宝山出口,八宝山出口,,39.9059894,116.2306839,,,2,r1596677,,,,,
n1296102332,010006,八宝山出口,八宝山出口,,39.9063941,116.2306601,,,2,r1596677,,,,,
n339092170,010007,玉泉路(上行),玉泉路,,39.9061675,116.2468991,,,0,r1596718,,,,,
r1596718,010007,玉泉路,玉泉路,,39.9061931,116.2468996,,,1,,,,,,
n1296155053,010007,玉泉路出口,玉泉路出口,,39.9064012,116.2474143,,,2,r1596718,,,,,
n1296155062,010007,玉泉路出口,玉泉路出口,,39.9060332,116.2474247,,,2,r1596718,,,,,
n1296155071,010007,玉泉路出口,玉泉路出口,,39.9064012,116.2477683,,,2,r1596718,,,,,
n1296155084,010007,玉泉路出口,玉泉路出口,,39.9060412,116.2477704,,,2,r1596718,,,,,
n1296155066,010007,玉泉路出口,玉泉路出口,,39.9060316,116.2458789,,,2,r1596718,,,,,
n1296155049,010007,玉泉路出口,玉泉路出口,,39.9060332,116.246235,,,2,r1596718,,,,,
n1296155075,010007,玉泉路出口,玉泉路出口,,39.9063947,116.2462308,,,2,r1596718,,,,,
n1296155060,010007,玉泉路出口,玉泉路出口,,39.9064012,116.2458768,,,2,r1596718,,,,,
n1296155055,010008,五棵松(上行),五棵松,,39.9061783,116.2680355,,,0,r1598926,,,,,
r1598926,010008,五棵松,五棵松,,39.9062214,116.2680336,,,1,,,,,,
n1298050519,010008,五棵松出口,五棵松出口,,39.9064424,116.26744,,,2,r1598926,,,,,
n1298050528,010008,五棵松出口,五棵松出口,,39.9064325,116.2689917,,,2,r1598926,,,,,
n1298050568,010008,五棵松出口,五棵松出口,,39.9064325,116.2685273,,,2,r1598926,,,,,
n1298050591,010008,五棵松出口,五棵松出口,,39.9064407,116.267029,,,2,r1598926,,,,,
n1298050555,010008,五棵松出口,五棵松出口,,39.9060249,116.2689945,,,2,r1598926,,,,,
n1298050586,010008,五棵松出口,五棵松出口,,39.9060235,116.2685234,,,2,r1598926,,,,,
n1298050575,010008,五棵松出口,五棵松出口,,39.9060371,116.2674335,,,2,r1598926,,,,,
n1298050597,010008,五棵松出口,五棵松出口,,39.9060383,116.2670097,,,2,r1598926,,,,,
n339086745,010009,万寿路(上行),万寿路,,39.9061848,116.2887729,,,0,r1598927,,,,,
r1598927,010009,万寿路,万寿路,,39.9062159,116.2887714,,,1,,,,,,
n1298050530,010009,万寿路出口,万寿路出口,,39.9064238,116.2882123,,,2,r1598927,,,,,
n1298050552,010009,万寿路出口,万寿路出口,,39.9064279,116.2892996,,,2,r1598927,,,,,
n1298050562,010009,万寿路出口,万寿路出口,,39.9064279,116.289764,,,2,r1598927,,,,,
n1298050577,010009,万寿路出口,万寿路出口,,39.9064274,116.2878195,,,2,r1598927,,,,,
n1298050521,010009,万寿路出口,万寿路出口,,39.9060951,116.2897446,,,2,r1598927,,,,,
n1298050572,010009,万寿路出口,万寿路出口,,39.9060963,116.289302,,,2,r1598927,,,,,
n1298050571,010009,万寿路出口,万寿路出口,,39.9060798,116.2882332,,,2,r1598927,,,,,
n1298050531,010009,万寿路出口,万寿路出口,,39.9060949,116.2878071,,,2,r1598927,,,,,
n339086386,900057,公主坟(上行),公主坟,,39.9061436,116.3041253,,,0,r1598955,,,,,
r1598955,900057,公主坟,公主坟,,39.9061762,116.3041253,,,1,,,,,,
n1298076031,900057,公主坟出口,公主坟出口,,39.9070556,116.3028648,,,2,r1598955,,,,,
n339086329,090027,军事博物馆(上行),军事博物馆,,39.9060936,116.3178207,,,0,r1598956,,,,,
r1598956,090027,军事博物馆,军事博物馆,,39.9061218,116.3178241,,,1,,,,,,
n1298058560,090027,军事博物馆A出口,军事博物馆A出口,,39.9063471,116.3161112,,,2,r1598956,,,,,
n1298058630,090027,军事博物馆D出口,军事博物馆D出口,,39.9058811,116.3159403,,,2,r1598956,,,,,
n1298058592,090027,军事博物馆B出口,军事博物馆B出口,,39.9063195,116.3190866,,,2,r1598956,,,,,
n1298058540,090027,军事博物馆C2出口,军事博物馆C2出口,,39.9059112,116.3184148,,,2,r1598956,,,,,
n1298058646,090027,军事博物馆C1出口,军事博物馆C1出口,,39.9059086,116.3188511,,,2,r1598956,,,,,
n339086364,160057,木樨地(上行),木樨地,,39.9060636,116.331503,,,0,r1598954,,,,,
r1598954,160057,木樨地,木樨地,,39.9061161,116.3315051,,,1,,,,,,
n1298058539,160057,木樨地出口,木樨地出口,,39.905787,116.3320216,,,2,r1598954,,,,,
n1298058567,160057,木樨地出口,木樨地出口,,39.9058124,116.330414,,,2,r1598954,,,,,
n1298058590,160057,木樨地出口,木樨地出口,,39.9057824,116.3324608,,,2,r1598954,,,,,
n1298058603,160057,木樨地出口,木樨地出口,,39.9058031,116.3309719,,,2,r1598954,,,,,
n1298058556,160057,木樨地出口,木樨地出口,,39.9064396,116.3325164,,,2,r1598954,,,,,
n1298058529,160057,木樨地出口,木樨地出口,,39.9064396,116.3319853,,,2,r1598954,,,,,
n1298058633,160057,木樨地出口,木樨地出口,,39.9064577,116.3309843,,,2,r1598954,,,,,
n1298058575,160057,木樨地出口,木樨地出口,,39.9064649,116.3304392,,,2,r1598954,,,,,
n339086220,010013,南礼士路(上行),南礼士路,,39.9058369,116.3465708,,,0,r1598987,,,,,
r1598987,010013,南礼士路,南礼士路,,39.9058662,116.3465697,,,1,,,,,,
n1298143225,010013,南礼士路C出口,南礼士路C出口,,39.9056093,116.3471163,,,2,r1598987,,,,,
n1298143253,010013,南礼士路D2出口,南礼士路D2出口,,39.905669,116.3460282,,,2,r1598987,,,,,
n1298143238,010013,南礼士路D1出口,南礼士路D1出口,,39.9056797,116.345569,,,2,r1598987,,,,,
n1298143246,010013,南礼士路A出口,南礼士路A出口,,39.9060963,116.3461501,,,2,r1598987,,,,,
n1673265528,010013,南礼士路B出口,南礼士路B出口,,39.9064091,116.3467814,,,2,r1598987,,,,,
n339086167,020004,复兴门(上行),复兴门,,39.9058006,116.3513203,,,0,r1599345,,,,,
r1599345,020004,复兴门,复兴门,,39.905948,116.3505107,,,1,,,,,,
n533645705,040053,西单(上行),西单,,39.9057212,116.3699189,,,0,r1602850,,,,,
r1602850,040053,西单,西单,,39.9057386,116.3682035,,,1,,,,,,
n1301959258,040053,西单A出口,西单A出口,,39.9061752,116.3687318,,,2,r1602850,,,,,
n1301959252,040053,西单B出口,西单B出口,,39.906566,116.3702379,,,2,r1602850,,,,,
n1301959280,040053,西单C出口,西单C出口,,39.9060806,116.3710554,,,2,r1602850,,,,,
n1301959229,040053,西单出口,西单出口,,39.9054167,116.3688683,,,2,r1602850,,,,,
n5077273885,040053,西单出口,西单出口,,39.9049896,116.3674772,,,2,r1602850,,,,,
n8500051831,040053,西单出口,西单出口,,39.9054638,116.3669418,,,2,r1602850,,,,,
n5077273896,040053,西单出口,西单出口,,39.9061048,116.366936,,,2,r1602850,,,,,
n339084600,010016,天安门西(上行),天安门西,,39.9059375,116.3851643,,,0,r1602849,,,,,
r1602849,010016,天安门西,天安门西,,39.9059702,116.3851622,,,1,,,,,,
n1301959175,010016,天安门西出口,天安门西出口,,39.9063798,116.386552,,,2,r1602849,,,,,
n10152163325,010016,天安门西B出口,天安门西B出口,,39.9064683,116.3860193,,,2,r1602849,,,,,
n1301959251,010016,天安门西A出口,天安门西A出口,,39.906431,116.3843337,,,2,r1602849,,,,,
